Timestamp,Strategy,Query,Retrieved Context Size,Used Context Size,Retrieved Documents,Used Documents,Response Length,Token Count,Prompt Length,Embedding Model,LLM Model,Relevance Scores,Latency (s),Status,Error Message
2025-02-19T18:48:29.704001,basic,I need storage solutions for a small bathroom,3,3,ENHET(99547652); ENHET(29546953); ENHET(19547279),ENHET(99547652); ENHET(29546953); ENHET(19547279),1282,218,1702,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.700; 0.700,4.606,Success,
2025-02-19T18:48:38.064331,multi_query,I need storage solutions for a small bathroom,7,7,JONAXEL(50419972); JONAXEL(79305098); ENHET(29444271); ENHET(9444267); LILLASJÖN(50478023); ENHET(59547017); ENHET(99547751),JONAXEL(50419972); JONAXEL(79305098); ENHET(29444271); ENHET(9444267); LILLASJÖN(50478023); ENHET(59547017); ENHET(99547751),2042,302,3334,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.598; 0.600; 0.600; 0.600; 0.591; 0.600,8.359,Success,
2025-02-19T18:48:47.797863,hypothetical,I need storage solutions for a small bathroom,3,3,JONAXEL(50419972); MUSKAN(50424327); STOREDAMM(10576167),JONAXEL(50419972); MUSKAN(50424327); STOREDAMM(10576167),2382,356,2606,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.805; 0.804; 0.803,9.733,Success,
2025-02-19T18:48:55.134181,step_back,I need storage solutions for a small bathroom,4,4,ENHET(99547652); ENHET(29546953); ENHET(69547074); ENHET(49547145),ENHET(99547652); ENHET(29546953); ENHET(69547074); ENHET(49547145),1474,235,2228,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.500,7.335,Success,
2025-02-19T18:48:58.759939,basic,Looking for bedroom storage ideas,3,3,HEMNES(39567563); HEMNES(59567538); HEMNES(69172348),HEMNES(39567563); HEMNES(59567538); HEMNES(69172348),1086,183,1792,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.700; 0.700,3.624,Success,
2025-02-19T18:49:05.641184,multi_query,Looking for bedroom storage ideas,7,6,HEMNES(39567563); HEMNES(59567538); HEMNES(19567540); HEMNES(19567564); VIHALS(20483257); SMYGA(10507843); IVAR(89555807),HEMNES(39567563); HEMNES(59567538); HEMNES(19567540); HEMNES(19567564); SMYGA(10507843); IVAR(89555807),1810,280,3387,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.600; 0.600; 0.600; 0.600; 0.582,6.880,Success,
2025-02-19T18:49:14.597892,hypothetical,Looking for bedroom storage ideas,3,3,PAX / FARDAL(29560755); PAX / ÅHEIM(69562347); PAX / ÅHEIM(49562348),PAX / FARDAL(29560755); PAX / ÅHEIM(69562347); PAX / ÅHEIM(49562348),2067,328,2686,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.810; 0.810; 0.808,8.956,Success,
2025-02-19T18:49:22.956408,step_back,Looking for bedroom storage ideas,4,4,VIKHAMMER(60596667); GULLABERG(40561763); GULLABERG(20561764); HEMNES(39567563),VIKHAMMER(60596667); GULLABERG(40561763); GULLABERG(20561764); HEMNES(39567563),1711,253,2448,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.496; 0.496; 0.495,8.357,Success,
2025-02-19T18:49:25.956109,basic,Need a comfortable office chair under $200,3,3,ALEFJÄLL(10367461); JÄRVFJÄLLET(70521855); JÄRVFJÄLLET(60510640),ALEFJÄLL(10367461); JÄRVFJÄLLET(70521855); JÄRVFJÄLLET(60510640),940,139,1804,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.699; 0.699,2.999,Success,
2025-02-19T18:49:33.439123,multi_query,Need a comfortable office chair under $200,5,2,ALEFJÄLL(10367461); JÄRVFJÄLLET(70521855); MARKUS(30521862); STRANDTORP / MÅRENÄS(29518832); STRANDTORP / MÅRENÄS(19518823),JÄRVFJÄLLET(70521855); MARKUS(30521862),1779,250,2809,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.597; 0.598; 0.600; 0.600,7.482,Success,
2025-02-19T18:49:40.565992,hypothetical,Need a comfortable office chair under $200,3,0,HATTEFJÄLL(494515); HATTEFJÄLL(494520); HATTEFJÄLL(532956),,1418,216,2794,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.779; 0.779; 0.770,7.126,Success,
2025-02-19T18:49:49.140009,step_back,Need a comfortable office chair under $200,4,2,LAGKAPTEN / SPÄND(99571604); LAGKAPTEN / SPÄND(19568530); LAGKAPTEN / ALEX(99417622); LAGKAPTEN / ALEX(69417690),LAGKAPTEN / SPÄND(99571604); LAGKAPTEN / SPÄND(19568530),1537,241,2787,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.499; 0.499,8.573,Success,
2025-02-19T18:49:54.980770,basic,Kitchen organization solutions for small spaces,3,3,OMAR(69829083); SEKTION(89469824); SEKTION(19469747),OMAR(69829083); SEKTION(89469824); SEKTION(19469747),1666,251,1839,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.691; 0.691,5.839,Success,
2025-02-19T18:50:02.551438,multi_query,Kitchen organization solutions for small spaces,8,7,TORNVIKEN(40391657); TORNVIKEN(80393372); SEKTION(80499731); LAGAN(50490119); SEKTION(89469824); SEKTION(19469747); OMAR(19279479); KALLAX(9017483),TORNVIKEN(40391657); TORNVIKEN(80393372); SEKTION(80499731); SEKTION(89469824); SEKTION(19469747); OMAR(19279479); KALLAX(9017483),2085,267,3754,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.600; 0.598; 0.600; 0.600; 0.600; 0.597,7.568,Success,
2025-02-19T18:50:13.511511,hypothetical,Kitchen organization solutions for small spaces,3,3,OMAR(49829084); SEKTION / MAXIMERA(69473073); SEKTION / MAXIMERA(49473074),OMAR(49829084); SEKTION / MAXIMERA(69473073); SEKTION / MAXIMERA(49473074),2542,377,2726,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.805; 0.803; 0.801,10.959,Success,
2025-02-19T18:50:24.277460,step_back,Kitchen organization solutions for small spaces,4,4,SEKTION(89034327); SEKTION(29034330); SEKTION(69034328); SEKTION(29034325),SEKTION(89034327); SEKTION(29034330); SEKTION(69034328); SEKTION(29034325),2368,360,2502,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.500; 0.500; 0.500,10.764,Success,
2025-02-19T18:50:30.675580,basic,Modern living room furniture for apartments,3,0,VIKHAMMER(60596667); ROCKSJÖN(99514699); ROCKSJÖN(29508866),,1795,289,1760,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.699; 0.699,6.396,Success,
2025-02-19T18:50:38.191388,multi_query,Modern living room furniture for apartments,8,7,VIKHAMMER(60596667); MALM(59488268); HAUGA(99572726); LOMMARP(90442824); HEMNES(39567563); HEMNES(59567538); BOASTAD(19563924); REGISSÖR(40342073),MALM(59488268); HAUGA(99572726); LOMMARP(90442824); HEMNES(39567563); HEMNES(59567538); BOASTAD(19563924); REGISSÖR(40342073),2003,295,3759,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.598; 0.600; 0.599; 0.600; 0.600; 0.600; 0.600,7.514,Success,
2025-02-19T18:50:48.094035,hypothetical,Modern living room furniture for apartments,3,3,ÄPPLARÖ(19303728); LACK(60566062); LACK(40566063),ÄPPLARÖ(19303728); LACK(60566062); LACK(40566063),2359,381,2292,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.784; 0.779; 0.779,9.902,Success,
2025-02-19T18:51:00.004092,step_back,Modern living room furniture for apartments,4,4,STORKLINTA(70559297); STORKLINTA(50559298); STORKLINTA(30561155); REGISSÖR(40342073),STORKLINTA(70559297); STORKLINTA(50559298); STORKLINTA(30561155); REGISSÖR(40342073),2166,333,2540,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.499; 0.499; 0.493,11.910,Success,
2025-02-19T18:51:03.809132,basic,What colors are available for the SPJUTROCKA ice cube tray with lid?,3,3,SURSÖT(20512938); LIVELYCKE(70564010); GODIS(80092109),SURSÖT(20512938); LIVELYCKE(70564010); GODIS(80092109),1117,192,1728,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.692; 0.690,3.804,Success,
2025-02-19T18:51:13.310302,multi_query,What colors are available for the SPJUTROCKA ice cube tray with lid?,8,7,SEKTION(39040854); SEKTION(69040857); SEKTION(19421246); SEKTION(39461552); SEKTION(59462131); SEKTION(49454971); FRUKTSKAL(50376722); UPPDATERA(59432691),SEKTION(39040854); SEKTION(69040857); SEKTION(19421246); SEKTION(39461552); SEKTION(59462131); SEKTION(49454971); FRUKTSKAL(50376722),2290,354,3308,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.600; 0.600; 0.600; 0.597; 0.600; 0.598; 0.600; 0.594,9.500,Success,
2025-02-19T18:51:19.970033,hypothetical,What colors are available for the SPJUTROCKA ice cube tray with lid?,3,3,SEKTION(19421246); SEKTION(89426387); SEKTION(39421245),SEKTION(19421246); SEKTION(89426387); SEKTION(39421245),1106,170,2595,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.743; 0.741; 0.741,6.659,Success,
2025-02-19T18:51:26.111365,step_back,What colors are available for the SPJUTROCKA ice cube tray with lid?,4,1,SPJUTROCKA(40429580); SURSÖT(60512936); LUFTTÄT(60509986); INBLANDAT(80429583),SPJUTROCKA(40429580),862,143,2835,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.500; 0.491; 0.482; 0.479,6.140,Success,
2025-02-19T18:51:31.784403,basic,What is the maximum load per shelf for the LOMMARP bookcase?,3,3,GERSBY(70261131); BAGGEBO(49572875); HEJNE(49046978),GERSBY(70261131); BAGGEBO(49572875); HEJNE(49046978),1753,270,1784,sentence-transformers/all-MiniLM-L6-v2,meta-llama/Meta-Llama-3.1-8B-Instruct,0.700; 0.697; 0.696,5.672,Success,
