location,date_visit,visits
Barcelona,2018-11-01,39.52381902671266
Barcelona,2018-11-02,40.75539527325598
Barcelona,2018-11-03,44.074464748980816
Barcelona,2018-11-04,1.0
Barcelona,2018-11-05,17.75237335005844
Barcelona,2018-11-06,17.45018103030476
Barcelona,2018-11-07,16.032642472275278
Barcelona,2018-11-08,17.40106052399008
Barcelona,2018-11-09,19.781537759785614
Barcelona,2018-11-10,46.01525215953474
Barcelona,2018-11-11,0.0
Barcelona,2018-11-12,20.261139778202242
Barcelona,2018-11-13,17.54425977136015
Barcelona,2018-11-14,17.26772529007612
Barcelona,2018-11-15,13.256549875987114
Barcelona,2018-11-16,19.383071528351913
Barcelona,2018-11-17,45.100122587450464
Barcelona,2018-11-18,1.3107449325769023
Barcelona,2018-11-19,20.078684037973602
Barcelona,2018-11-20,19.028907831342476
Barcelona,2018-11-21,17.857855574878126
Barcelona,2018-11-22,17.059611711377826
Barcelona,2018-11-23,20.408729366821564
Barcelona,2018-11-24,40.12030675371326
Barcelona,2018-11-25,0.0
Barcelona,2018-11-26,20.089431821421446
Barcelona,2018-11-27,17.27057616101719
Barcelona,2018-11-28,18.108732217692506
Barcelona,2018-11-29,16.11597342988283
Barcelona,2018-11-30,22.065085383584684
Barcelona,2018-12-01,44.769421558286055
Barcelona,2018-12-02,0.0
Barcelona,2018-12-03,22.478461670040197
Barcelona,2018-12-04,18.51070502038373
Barcelona,2018-12-05,19.68460814778915
Barcelona,2018-12-06,43.857142857142854
Barcelona,2018-12-07,37.959346580380306
Barcelona,2018-12-08,42.505830031074495
Barcelona,2018-12-09,0.0
Barcelona,2018-12-10,18.998203951307126
Barcelona,2018-12-11,17.523647974456196
Barcelona,2018-12-12,16.554351854491546
Barcelona,2018-12-13,16.076061236707815
Barcelona,2018-12-14,18.903469509935285
Barcelona,2018-12-15,36.285229637654304
Barcelona,2018-12-16,24.930866379678992
Barcelona,2018-12-17,20.494911195370186
Barcelona,2018-12-18,18.77232944664595
Barcelona,2018-12-19,18.276277902899334
Barcelona,2018-12-20,18.088776121105
Barcelona,2018-12-21,17.053254269179234
Barcelona,2018-12-22,32.556946147047924
Barcelona,2018-12-23,28.09752829489409
Barcelona,2018-12-24,17.717507198449127
Barcelona,2018-12-25,0.0
Barcelona,2018-12-26,1.3969267611255238
Barcelona,2018-12-27,37.82469994583345
Barcelona,2018-12-28,33.51198791230721
Barcelona,2018-12-29,40.45956039570088
Barcelona,2018-12-30,0.0
Barcelona,2018-12-31,20.97605268409499
Barcelona,2019-01-01,2.565128146648801
Barcelona,2019-01-02,36.048607349545286
Barcelona,2019-01-03,31.536334350143967
Barcelona,2019-01-04,30.92559226843801
Barcelona,2019-01-05,27.927131738746187
Barcelona,2019-01-06,1.707671693702426
Barcelona,2019-01-07,23.71639535878211
Barcelona,2019-01-08,18.455882772186904
Barcelona,2019-01-09,17.253470935370757
Barcelona,2019-01-10,17.92057473558172
Barcelona,2019-01-11,22.022978019785043
Barcelona,2019-01-12,46.40867234940274
Barcelona,2019-01-13,21.246885423496877
Barcelona,2019-01-14,19.112238788950023
Barcelona,2019-01-15,18.313994925449723
Barcelona,2019-01-16,17.048208227613536
Barcelona,2019-01-17,16.566411038572284
Barcelona,2019-01-18,20.66530775151809
Barcelona,2019-01-19,47.02160960173333
Barcelona,2019-01-20,0.0
Barcelona,2019-01-21,21.58043732360236
Barcelona,2019-01-22,18.66969809276734
Barcelona,2019-01-23,18.73811899535308
Barcelona,2019-01-24,18.709610285942354
Barcelona,2019-01-25,21.94534880405964
Barcelona,2019-01-26,45.53125979986886
Barcelona,2019-01-27,0.0
Barcelona,2019-01-28,22.846224021438548
Barcelona,2019-01-29,19.115089659891098
Barcelona,2019-01-30,20.035920973857515
Barcelona,2019-01-31,20.092938392678963
Barcelona,2019-02-01,23.995780711007214
Barcelona,2019-02-02,53.60492630498617
Barcelona,2019-02-03,2.92214271459931
Barcelona,2019-02-04,23.95871938877327
Barcelona,2019-02-05,21.064429683268237
Barcelona,2019-02-06,19.502808107876955
Barcelona,2019-02-07,19.616842945519856
Barcelona,2019-02-08,23.223194685976566
